Activation,Tensor_Size,Mean_Proving_Time_s,Std_Dev_Prove_s,Mean_Verify_Time_s,Mean_Proof_Size_KB,Peak_RAM_MB,Compute_Node
Tanh,1000,10.808002805709839,0.6823678796172311,0.051565122604370114,318.7208984375,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,1500,12.243044662475587,0.7873354141467245,0.06918482780456543,468.221875,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,2000,11.693065357208251,0.33267587337157056,0.06720218658447266,617.62578125,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,2500,24.40607395172119,1.8831587094604092,0.2794606685638428,766.998828125,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,3000,23.621918153762817,0.34353816686948485,0.1372089385986328,916.4404296875,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,3500,24.111485958099365,0.8816430012824834,0.13849306106567383,1065.8171875,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,4000,23.295670795440675,0.3384836182225478,0.14719138145446778,1215.1703125,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,4500,46.47976698875427,0.8128343475169855,0.24876646995544432,1364.7712890625,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,5000,47.88181385993958,1.4124605039638276,0.2820422172546387,1514.09140625,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,5500,44.900264263153076,0.7951018815093566,0.3228466033935547,1663.584375,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,6000,49.194048166275024,2.2113177892697755,0.3585660934448242,1813.03515625,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,6500,47.810363340377805,1.8495033782731312,0.33638362884521483,1962.3908203125,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,7000,46.241441583633424,0.4618085424787956,0.3145026683807373,2111.734765625,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,7500,46.26759929656983,1.0831483383226506,0.30564374923706056,2261.227734375,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,8000,46.861199951171876,1.2510850107489087,0.33052811622619627,2410.66640625,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,8500,89.46797499656677,3.914015644266544,0.6301362037658691,2559.996484375,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,9000,88.33989558219909,3.5565282456107665,0.6116828441619873,2709.492578125,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,9500,82.00948014259339,2.7201835302127737,0.500208044052124,2858.730078125,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,10000,87.76799139976501,3.7364868645992733,0.5064576625823974,3008.180078125,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,10500,79.50150036811829,3.2451229627492215,0.43088622093200685,3157.8912109375,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,11000,77.20888695716857,0.8922606299392325,0.393553352355957,3307.1103515625,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,11500,77.73437428474426,1.2059077170494912,0.40236473083496094,3456.712109375,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,12000,76.79925589561462,1.363327517405052,0.40596609115600585,3605.834375,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,12500,76.9123703956604,0.4814369758973787,0.4096169948577881,3755.4400390625,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,13000,78.16854095458984,0.42924694289675164,0.4067038059234619,3904.846875,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,13500,76.42764449119568,1.4352725422602457,0.417542028427124,4054.1783203125,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,14000,77.26751737594604,0.7719166781830274,0.4233065128326416,4203.6779296875,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,14500,76.90586495399475,0.49990767109600165,0.5249436378479004,4353.068359375,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,15000,77.55784521102905,1.3130441786530405,0.4637016296386719,4502.45625,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,15500,77.92522377967835,1.4013099669683111,0.45191230773925783,4651.8732421875,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,16000,76.54518575668335,0.6776288564426568,0.45464134216308594,4801.2505859375,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,16500,167.7708303451538,5.095105177934203,1.2173086166381837,4950.9765625,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,17000,170.82634654045106,4.16503865602859,1.1280657291412353,5100.259765625,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,17500,165.03535599708556,1.2982668685474,0.9093319416046143,5249.531640625,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,18000,161.21924648284912,2.0444398237621555,0.770748233795166,5398.8619140625,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,18500,161.73884601593016,0.9159633594130625,0.7977792739868164,5548.3099609375,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,19000,164.827063369751,1.684925483718889,0.8195893287658691,5697.7837890625,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,19500,164.36738696098328,0.5777926710450496,0.8565217971801757,5847.4337890625,6592.87890625,node1k04.ecdf.ed.ac.uk
Tanh,20000,162.7246448993683,1.4350026678110535,0.8138028144836426,5996.795703125,6592.87890625,node1k04.ecdf.ed.ac.uk
