model_type,parameter_size,trial,logrows,proving_time,peak_ram_mb,proof_size_mb
Linear,19500,5,17,160.1342215538025,2.2780609130859375,2.819395065307617
Linear,20000,1,17,158.46241092681885,2.3357582092285156,2.8893165588378906
Linear,20000,2,17,155.35700821876526,2.3357582092285156,2.889328956604004
Linear,20000,3,17,137.19354701042175,2.3357582092285156,2.889272689819336
Linear,20000,4,17,120.98958230018616,2.3357582092285156,2.88985538482666
Linear,20000,5,17,119.65464949607849,2.3357582092285156,2.8893327713012695
Sigmoid,500,1,17,31.320242643356323,0.12251567840576172,0.15979480743408203
Sigmoid,500,2,17,30.971765756607056,0.12251567840576172,0.15985107421875
Sigmoid,500,3,17,30.70180916786194,0.12251567840576172,0.15989303588867188
Sigmoid,500,4,17,30.257550716400146,0.12251567840576172,0.15989017486572266
Sigmoid,500,5,17,30.75630283355713,0.12251567840576172,0.1598968505859375
Sigmoid,1000,1,17,30.576149225234985,0.23791027069091797,0.30020999908447266
Sigmoid,1000,2,17,31.073933362960815,0.23791027069091797,0.3002605438232422
Sigmoid,1000,3,17,31.680317401885986,0.23791027069091797,0.30030345916748047
Sigmoid,1000,4,17,32.20868110656738,0.23791027069091797,0.30025672912597656
Sigmoid,1000,5,17,32.161216259002686,0.23791027069091797,0.30045413970947266
Sigmoid,1500,1,17,31.862541675567627,0.3533048629760742,0.44074153900146484
Sigmoid,1500,2,17,32.225279331207275,0.3533048629760742,0.4406270980834961
Sigmoid,1500,3,17,32.38588571548462,0.3533048629760742,0.4408559799194336
Sigmoid,1500,4,17,32.47508716583252,0.3533048629760742,0.4406929016113281
Sigmoid,1500,5,17,32.53879928588867,0.3533048629760742,0.44069385528564453
Sigmoid,2000,1,17,32.77304172515869,0.46869945526123047,0.5811538696289062
Sigmoid,2000,2,17,32.46444392204285,0.46869945526123047,0.5811471939086914
Sigmoid,2000,3,17,32.82879686355591,0.46869945526123047,0.5810604095458984
Sigmoid,2000,4,17,33.01471281051636,0.46869945526123047,0.5810880661010742
Sigmoid,2000,5,17,33.1112756729126,0.46869945526123047,0.5812349319458008
Sigmoid,2500,1,17,32.835517168045044,0.5840940475463867,0.7216272354125977
Sigmoid,2500,2,17,33.4219434261322,0.5840940475463867,0.7215499877929688
Sigmoid,2500,3,17,33.551064014434814,0.5840940475463867,0.7215309143066406
Sigmoid,2500,4,17,33.60133457183838,0.5840940475463867,0.7214384078979492
Sigmoid,2500,5,17,34.82657194137573,0.5840940475463867,0.7215805053710938
Sigmoid,3000,1,17,34.799254179000854,0.699488639831543,0.8619403839111328
Sigmoid,3000,2,17,34.16799974441528,0.699488639831543,0.862116813659668
Sigmoid,3000,3,17,34.976874589920044,0.699488639831543,0.8621892929077148
Sigmoid,3000,4,17,34.90132260322571,0.699488639831543,0.8618831634521484
Sigmoid,3000,5,17,35.65718078613281,0.699488639831543,0.8621358871459961
Sigmoid,3500,1,17,39.481069564819336,0.8148832321166992,1.002528190612793
Sigmoid,3500,2,17,34.27638506889343,0.8148832321166992,1.002446174621582
Sigmoid,3500,3,17,34.85997533798218,0.8148832321166992,1.0023565292358398
Sigmoid,3500,4,17,34.0701117515564,0.8148832321166992,1.0025253295898438
Sigmoid,3500,5,17,34.94570589065552,0.8148832321166992,1.0022659301757812
Sigmoid,4000,1,17,33.28272557258606,0.9302778244018555,1.1427726745605469
Sigmoid,4000,2,17,33.96759390830994,0.9302778244018555,1.1428565979003906
Sigmoid,4000,3,17,33.443177938461304,0.9302778244018555,1.1427316665649414
Sigmoid,4000,4,17,33.11762309074402,0.9302778244018555,1.1429548263549805
Sigmoid,4000,5,17,33.551953077316284,0.9302778244018555,1.142892837524414
Sigmoid,4500,1,17,33.74263906478882,1.0456724166870117,1.2832651138305664
Sigmoid,4500,2,17,34.4455201625824,1.0456724166870117,1.283285140991211
Sigmoid,4500,3,17,33.873910903930664,1.0456724166870117,1.283370018005371
Sigmoid,4500,4,17,33.53925943374634,1.0456724166870117,1.2832908630371094
Sigmoid,4500,5,17,33.57506346702576,1.0456724166870117,1.283268928527832
Sigmoid,5000,1,17,34.33052039146423,1.161067008972168,1.4237594604492188
Sigmoid,5000,2,17,33.644861698150635,1.161067008972168,1.4238500595092773
Sigmoid,5000,3,17,33.53275728225708,1.161067008972168,1.4238948822021484
Sigmoid,5000,4,17,34.14556956291199,1.161067008972168,1.4237127304077148
Sigmoid,5000,5,17,33.716598987579346,1.161067008972168,1.4237966537475586
Sigmoid,5500,1,17,34.2629873752594,1.2764616012573242,1.5644407272338867
Sigmoid,5500,2,17,33.65244793891907,1.2764616012573242,1.5642509460449219
Sigmoid,5500,3,17,34.205759048461914,1.2764616012573242,1.564335823059082
Sigmoid,5500,4,17,33.43219566345215,1.2764616012573242,1.5644302368164062
Sigmoid,5500,5,17,34.75855994224548,1.2764616012573242,1.5641107559204102
Sigmoid,6000,1,17,33.78528356552124,1.3918561935424805,1.7046194076538086
Sigmoid,6000,2,17,33.916313886642456,1.3918561935424805,1.7045621871948242
Sigmoid,6000,3,17,33.85318899154663,1.3918561935424805,1.7047758102416992
Sigmoid,6000,4,17,34.3199405670166,1.3918561935424805,1.7043266296386719
Sigmoid,6000,5,17,34.15976071357727,1.3918561935424805,1.7044076919555664
Sigmoid,6500,1,17,33.7733850479126,1.5072507858276367,1.8451051712036133
Sigmoid,6500,2,17,33.623414278030396,1.5072507858276367,1.8449726104736328
Sigmoid,6500,3,17,33.707465410232544,1.5072507858276367,1.8448991775512695
Sigmoid,6500,4,17,34.20328116416931,1.5072507858276367,1.8451452255249023
Sigmoid,6500,5,17,33.493815422058105,1.5072507858276367,1.8449649810791016
Sigmoid,7000,1,17,33.47349500656128,1.622645378112793,1.9853096008300781
Sigmoid,7000,2,17,33.800185680389404,1.622645378112793,1.985361099243164
Sigmoid,7000,3,17,33.13662338256836,1.622645378112793,1.9852714538574219
Sigmoid,7000,4,17,32.992125034332275,1.622645378112793,1.9854516983032227
Sigmoid,7000,5,17,33.739744424819946,1.622645378112793,1.9856834411621094
Sigmoid,7500,1,17,32.958099365234375,1.7380399703979492,2.1261396408081055
Sigmoid,7500,2,17,32.97589921951294,1.7380399703979492,2.125454902648926
Sigmoid,7500,3,17,32.93232870101929,1.7380399703979492,2.125859260559082
Sigmoid,7500,4,17,32.90185499191284,1.7380399703979492,2.125718116760254
Sigmoid,7500,5,17,33.16324734687805,1.7380399703979492,2.125901222229004
Sigmoid,8000,1,17,33.72187876701355,1.8534345626831055,2.2663326263427734
Sigmoid,8000,2,17,33.368165016174316,1.8534345626831055,2.2660388946533203
Sigmoid,8000,3,17,32.79594278335571,1.8534345626831055,2.2662973403930664
Sigmoid,8000,4,17,33.320213317871094,1.8534345626831055,2.266556739807129
Sigmoid,8000,5,17,32.94798707962036,1.8534345626831055,2.2662315368652344
Sigmoid,8500,1,17,56.43744969367981,1.9741392135620117,2.421452522277832
Sigmoid,8500,2,17,56.76586651802063,1.9741392135620117,2.4209842681884766
Sigmoid,8500,3,17,56.665104150772095,1.9741392135620117,2.4207067489624023
Sigmoid,8500,4,17,56.67438459396362,1.9741392135620117,2.4210634231567383
Sigmoid,8500,5,17,55.962579011917114,1.9741392135620117,2.420816421508789
Sigmoid,9000,1,17,55.53730511665344,2.089533805847168,2.5612993240356445
Sigmoid,9000,2,17,55.29405951499939,2.089533805847168,2.561372756958008
Sigmoid,9000,3,17,54.489004135131836,2.089533805847168,2.5615854263305664
Sigmoid,9000,4,17,54.85939884185791,2.089533805847168,2.561650276184082
Sigmoid,9000,5,17,57.01388740539551,2.089533805847168,2.561511993408203
Sigmoid,9500,1,17,62.83251452445984,2.204928398132324,2.7018489837646484
Sigmoid,9500,2,17,61.76435375213623,2.204928398132324,2.701740264892578
Sigmoid,9500,3,17,60.2918643951416,2.204928398132324,2.701840400695801
Sigmoid,9500,4,17,58.245930433273315,2.204928398132324,2.701991081237793
Sigmoid,9500,5,17,56.83301115036011,2.204928398132324,2.7017974853515625
Sigmoid,10000,1,17,54.58367705345154,2.3203229904174805,2.842606544494629
Sigmoid,10000,2,17,54.7739691734314,2.3203229904174805,2.842203140258789
Sigmoid,10000,3,17,53.57954978942871,2.3203229904174805,2.842315673828125
Sigmoid,10000,4,17,53.203455686569214,2.3203229904174805,2.8426942825317383
Sigmoid,10000,5,17,53.32634520530701,2.3203229904174805,2.8427515029907227
Sigmoid,10500,1,17,53.200167417526245,2.4357175827026367,2.9827346801757812
Sigmoid,10500,2,17,53.1532998085022,2.4357175827026367,2.9830322265625
